Date,3M
1/2/2020,1.54
1/3/2020,1.52
1/6/2020,1.56
1/7/2020,1.54
1/8/2020,1.54
1/9/2020,1.54
1/10/2020,1.54
1/13/2020,1.57
1/14/2020,1.57
1/15/2020,1.57
1/16/2020,1.55
1/17/2020,1.56
1/21/2020,1.56
1/22/2020,1.55
1/23/2020,1.55
1/24/2020,1.54
1/27/2020,1.55
1/28/2020,1.57
1/29/2020,1.56
1/30/2020,1.57
1/31/2020,1.55
2/3/2020,1.57
2/4/2020,1.57
2/5/2020,1.57
2/6/2020,1.57
2/7/2020,1.56
2/10/2020,1.58
2/11/2020,1.57
2/12/2020,1.58
2/13/2020,1.59
2/14/2020,1.58
2/18/2020,1.58
2/19/2020,1.58
2/20/2020,1.58
2/21/2020,1.56
2/24/2020,1.53
2/25/2020,1.53
2/26/2020,1.53
2/27/2020,1.45
2/28/2020,1.27
3/2/2020,1.13
3/3/2020,0.95
3/4/2020,0.72
3/5/2020,0.62
3/6/2020,0.45
3/9/2020,0.33
3/10/2020,0.44
3/11/2020,0.42
3/12/2020,0.33
3/13/2020,0.28
3/16/2020,0.24
3/17/2020,0.19
3/18/2020,0.02
3/19/2020,0.04
3/20/2020,0.05
3/23/2020,0.02
3/24/2020,0.01
3/25/2020,0
3/26/2020,0
3/27/2020,0.03
3/30/2020,0.12
3/31/2020,0.11
4/1/2020,0.09
4/2/2020,0.09
4/3/2020,0.1
4/6/2020,0.15
4/7/2020,0.14
4/8/2020,0.22
4/9/2020,0.25
4/13/2020,0.26
4/14/2020,0.2
4/15/2020,0.14
4/16/2020,0.14
4/17/2020,0.12
4/20/2020,0.12
4/21/2020,0.11
4/22/2020,0.12
4/23/2020,0.11
4/24/2020,0.12
4/27/2020,0.12
4/28/2020,0.11
4/29/2020,0.1
4/30/2020,0.09
5/1/2020,0.12
5/4/2020,0.13
5/5/2020,0.13
5/6/2020,0.12
5/7/2020,0.11
5/8/2020,0.12
5/11/2020,0.12
5/12/2020,0.13
5/13/2020,0.13
5/14/2020,0.12
5/15/2020,0.12
5/18/2020,0.13
5/19/2020,0.13
5/20/2020,0.12
5/21/2020,0.12
5/22/2020,0.12
5/26/2020,0.14
5/27/2020,0.15
5/28/2020,0.15
5/29/2020,0.14
6/1/2020,0.14
6/2/2020,0.15
6/3/2020,0.16
6/4/2020,0.15
6/5/2020,0.15
6/8/2020,0.17
6/9/2020,0.19
6/10/2020,0.17
6/11/2020,0.17
6/12/2020,0.16
6/15/2020,0.18
6/16/2020,0.17
6/17/2020,0.17
6/18/2020,0.16
6/19/2020,0.15
6/22/2020,0.16
6/23/2020,0.16
6/24/2020,0.15
6/25/2020,0.16
6/26/2020,0.14
6/29/2020,0.14
6/30/2020,0.16
7/1/2020,0.14
7/2/2020,0.14
7/6/2020,0.15
7/7/2020,0.15
7/8/2020,0.15
7/9/2020,0.13
7/10/2020,0.13
7/13/2020,0.14
7/14/2020,0.15
7/15/2020,0.16
7/16/2020,0.11
7/17/2020,0.11
7/20/2020,0.13
7/21/2020,0.13
7/22/2020,0.13
7/23/2020,0.12
7/24/2020,0.11
7/27/2020,0.11
7/28/2020,0.11
7/29/2020,0.11
7/30/2020,0.09
7/31/2020,0.09
8/3/2020,0.1
8/4/2020,0.09
8/5/2020,0.1
8/6/2020,0.1
8/7/2020,0.1
8/10/2020,0.11
8/11/2020,0.11
8/12/2020,0.11
8/13/2020,0.1
8/14/2020,0.1
8/17/2020,0.1
8/18/2020,0.09
8/19/2020,0.11
8/20/2020,0.11
8/21/2020,0.1
8/24/2020,0.12
8/25/2020,0.11
8/26/2020,0.11
8/27/2020,0.11
8/28/2020,0.1
8/31/2020,0.11
9/1/2020,0.12
9/2/2020,0.12
9/3/2020,0.11
9/4/2020,0.11
9/8/2020,0.13
9/9/2020,0.12
9/10/2020,0.12
9/11/2020,0.11
9/14/2020,0.11
9/15/2020,0.11
9/16/2020,0.12
9/17/2020,0.09
9/18/2020,0.1
9/21/2020,0.1
9/22/2020,0.1
9/23/2020,0.11
9/24/2020,0.1
9/25/2020,0.1
9/28/2020,0.11
9/29/2020,0.09
9/30/2020,0.1
10/1/2020,0.09
10/2/2020,0.09
10/5/2020,0.1
10/6/2020,0.1
10/7/2020,0.1
10/8/2020,0.09
10/9/2020,0.1
10/13/2020,0.11
10/14/2020,0.12
10/15/2020,0.11
10/16/2020,0.11
10/19/2020,0.11
10/20/2020,0.1
10/21/2020,0.1
10/22/2020,0.09
10/23/2020,0.1
10/26/2020,0.11
10/27/2020,0.1
10/28/2020,0.1
10/29/2020,0.09
10/30/2020,0.09
11/2/2020,0.09
11/3/2020,0.1
11/4/2020,0.1
11/5/2020,0.1
11/6/2020,0.1
11/9/2020,0.11
11/10/2020,0.1
11/12/2020,0.1
11/13/2020,0.09
11/16/2020,0.09
11/17/2020,0.09
11/18/2020,0.09
11/19/2020,0.07
11/20/2020,0.07
11/23/2020,0.08
11/24/2020,0.09
11/25/2020,0.09
11/27/2020,0.09
11/30/2020,0.08
12/1/2020,0.09
12/2/2020,0.09
12/3/2020,0.08
12/4/2020,0.09
12/7/2020,0.08
12/8/2020,0.09
12/9/2020,0.08
12/10/2020,0.08
12/11/2020,0.08
12/14/2020,0.09
12/15/2020,0.08
12/16/2020,0.09
12/17/2020,0.08
12/18/2020,0.08
12/21/2020,0.09
12/22/2020,0.09
12/23/2020,0.09
12/24/2020,0.09
12/28/2020,0.11
12/29/2020,0.1
12/30/2020,0.08
12/31/2020,0.09
